Condition Name,Condition Link,Condition Info,Symptoms,Common Symptoms,Other Symptoms,Medical History,Physical Exam,Diagnostic Test,Other Test
Cardiac Catheterization,https://www.nhlbi.nih.gov/health/cardiac-catheterization,Cardiac catheterization is a medical procedure used to take a close look at your heart to diagnose some heart conditions. It can also be used to treat a problem with your heart.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cardiogenic Shock,https://www.nhlbi.nih.gov/health/cardiogenic-shock,"Cardiogenic shock, also known as cardiac shock, happens when the heart cannot pump enough blood and oxygen to the brain and other organs.","Symptoms of cardiogenic shock vary, depending on how quickly and how low your blood pressure drops. Cardiogenic shock may start with symptoms such as confusion or rapid breathing, or a person may have no symptoms and then suddenly lose consciousness.
The most common signs of cardiogenic shock are:
Low blood pressure
, which can make you feel dizzy, confused, and nauseous
Weak or irregular pulse
Symptoms of cardiogenic shock may include:
Breathing problems, including fast breathing and severe shortness of breath
Bulging
veins
in the neck
Clammy skin
Cold hands and feet
Fever
Loss of consciousness
Swelling of feet
Urinating much less than usual or not at all
Cardiac arrest
Many of these symptoms develop because the heart does not deliver enough blood to the body’s tissues and organs. For example, as blood pressure drops during cardiogenic shock, the body tries to compensate by limiting blood flow to the hands and feet, causing them to cool down.
As blood flow to the brain drops, the person may become confused or lose consciousness. The kidneys may shut down, producing less urine. Reduced blood flow in the lungs may lead to fluid buildup there, making it hard to breathe.
FACT SHEET
Learn What a Heart Attack Feels Like
It's important to learn the warning signs of a heart attack and what to do if you are experiencing symptoms.
View the fact sheet",N/A,N/A,"To diagnose cardiogenic shock, your doctor will usually do tests after you have been admitted to the hospital for a possible heart attack or for
symptoms of shock
.","Your doctor will ask you or your family members about your medical history, especially any
symptoms of a heart attack
before you became ill. Your doctor will also want to know about any medicines you are taking.","During a physical exam your doctor may:
Check your hands and feet
for cold temperature or swelling.
Check your pulse.
If your heart cannot pump strongly, your pulse may be weak and rapid. If cardiogenic shock was caused by doses of heart medicines that were too high, your pulse may be normal or slow.
Listen to your heart and lungs
with a stethoscope for unusual sounds or heart rhythms.
Measure how much you urinate
to check how well your kidneys are working.
Measure your blood pressure.
Low blood pressure that does not return to normal on its own is a sign of cardiogenic shock.","Your doctor may order one or more of the following tests and procedures to diagnose cardiogenic shock.
Chest X-ray
A chest X-ray is a fast and painless imaging test to look at the structures in and around your chest.
This test can help diagnose and check conditions such as pneumonia, heart failure, lung cancer, tuberculosis, sarcoidosis, and lung tissue scarring, called fibrosis. Doctors may use chest X-rays to see how well certain treatments are working and to check for complications after certain procedures or surgeries.
The test may be done in the doctor’s office, clinic, or hospital. You will stand, sit, or lie still for the test.
Chest X-rays have few risks. The amount of radiation used in a chest X-ray is very small. Talk to your provider if you are or could be pregnant.
Coronary angiography
Coronary angiography is a procedure that uses contrast dye, usually containing iodine, and X-ray pictures to detect blockages in the coronary arteries that are caused by plaque buildup. Blockages prevent your heart from getting oxygen and important nutrients.
This procedure is used to diagnose heart diseases or after abnormal results from tests such as an electrocardiogram (EKG) or an exercise stress test. If you are having a heart attack, coronary angiography can help your doctors plan your treatment.
Coronary angiography is often done in a hospital. You will stay awake, but you will get medicine to relax you during the procedure. Often, coronary angiography is done with a cardiac catheterization procedure. For this, your doctor will clean and numb an area on the arm, groin or upper thigh, or neck before making a small hole in a blood vessel. Your doctor will insert a catheter tube into your blood vessel. Your doctor will take X-ray pictures to help place the catheter in your coronary artery. After the catheter is in place, your doctor will inject the contrast dye through the catheter to highlight blockages and will take X-ray pictures of your heart. If blockages are detected, your doctor may use percutaneous coronary intervention, also known as coronary angioplasty, to improve blood flow to your heart.
After coronary angiography, your doctor will remove the catheter and close and bandage the opening on your arm, groin, or neck. You may develop a bruise and soreness where the catheter was inserted. You will stay in the hospital for a few hours or overnight. During this time, your healthcare team will check your heart rate and blood pressure.
Coronary angiography is a common procedure that rarely causes serious problems. However, as with any procedure involving the heart, there is some risk. These risks include bleeding, allergic reactions to the contrast dye, infection, blood vessel damage, arrhythmias, and blood clots that can trigger a heart attack or stroke. The risk of complications is higher in people who are older or who have chronic kidney disease or diabetes.
Echocardiography
Echocardiography, or echo, is a painless test that uses sound waves to create moving pictures of your heart. The pictures show the size and shape of your heart and how well your heart is pumping blood. A type of echo called Doppler ultrasound shows how well blood flows through your heart's chambers and valves.
The illustration shows a patient having echocardiography. The patient lies on his left side. A sonographer moves the transducer on the patient’s chest, while viewing the echo pictures on a computer.
Echo can detect blood clots inside your heart, fluid buildup in the pericardium (the sac around the heart), tumors, and problems with the aorta. The aorta is the main artery that carries oxygen-rich blood from your heart to your body. Echo also can help your doctor find the cause of abnormal heart sounds, such as heart murmurs. Your doctor also might use echo to see how well your heart responds to certain heart treatments.
Electrocardiogram (EKG or ECG)
An electrocardiogram, also called an ECG or EKG, is a simple, painless test that detects and records your heart’s electrical activity. An EKG can show how fast your heart is beating, whether the rhythm of your heartbeats is steady or irregular, and the strength and timing of the electrical impulses passing through each part of your heart. You may have an EKG as part of a routine exam to screen for heart disease.
An EKG may be recorded in a doctor’s office, an outpatient facility, in a hospital before major surgery, or as part of stress testing. For the test, you will lie still on a table. A nurse or technician will attach up to 12 electrodes to the skin on your chest, arms, and legs. Your skin may need to be shaved to help the electrodes stick. The electrodes are connected by wires to a machine that records your heart’s electrical activity on graph paper or on a computer. After the test, the electrodes will be removed.
An EKG has no serious risks. EKGs don’t give off electrical charges such as shocks. You may develop a slight rash where the electrodes were attached to your skin. This rash usually goes away on its own without treatment.
Other tests may give your doctor important information.
Blood gas tests
that check the amounts of oxygen and carbon dioxide in the veins and arteries
Blood tests
that check how well the heart, liver, and kidneys are working and look for increased
lactate
, or lactic acid, levels
Other heart imaging tests
that look for heart disease or problems with how well the heart or its valves are working"
Cardiomyopathy,https://www.nhlbi.nih.gov/health/cardiomyopathy,Cardiomyopathy refers to problems with the heart that can make it harder to pump blood.,N/A,N/A,N/A,"Your healthcare provider may screen you for cardiomyopathy if a close relative has this condition or has had another serious heart condition. Your healthcare provider will ask whether people in your family have died suddenly.
Your provider may also notice
signs
of cardiomyopathy during a routine exam. If you have
symptoms
of heart weakness, your provider will order tests:
Heart tests and procedures
such as imaging tests, electrocardiograms, and stress tests check the size and shape of your heart and assess how well it is working. They may also provide other information about the heart.
Blood tests
check the levels of substances in your blood that change if you have cardiomyopathy or complications such as heart failure.
Genetic
testing
can identify
inherited
types of cardiomyopathy. This is important if you or a blood relative has cardiomyopathy or another heart condition that runs in families. A genetic counselor can help you through the process.
Be sure to let your provider know if you're planning a pregnancy or if you are pregnant. Not all tests and procedures are safe for pregnant people.","Your provider will order imaging tests to assess your heart’s shape and its ability to pump blood.
Echocardiogram
, or echo, uses sound waves to create moving pictures of your heart. The pictures show the size and shape of your heart and how well it is pumping blood.
Cardiac magnetic resonance imaging (MRI)
uses radio waves, magnets, and a computer to create detailed pictures of your heart. This noninvasive test can provide information about the type and seriousness of heart disease to help find the best way to treat your condition.
Cardiac
computed tomography (CT) scan
, also called a “CAT scan,” uses X-rays to take detailed pictures of your heart and its blood vessels. With this noninvasive test, computers use the pictures to create a three-dimensional model of your heart.
A
chest X-ray
uses fast imaging to look at the structures in and around your chest. It can help diagnose and check conditions such as heart failure.
An
electrocardiogram
detects and records your heart’s electrical activity. It is also called an ECG or EKG. An ECG can show how fast your heart is beating. It also shows the rhythm of your heartbeats and the pattern of electrical impulses passing through your heart.
A heart
stress test
checks how your heart works under stress. During stress testing, you exercise on a treadmill or a stationary bike to make your heart beat quickly. If you can’t exercise, your provider may give you medicine to make your heart work harder, as it would during exercise. To check for low blood flow to your heart muscle, your provider will use an ECG, echocardiogram, or another imaging test while you exercise.
Understanding Ejection Fraction
When you and your provider talk about the results of an echocardiogram, you'll probably hear the term ""ejection fraction."" This is the percentage of blood that your heart pumps out with every heartbeat. A normal ejection fraction is about 60%. The fraction is often lower in people who have cardiomyopathy or
heart failure
.","Your provider may perform one or more heart procedures to help diagnose cardiomyopathy.
Cardiac catheterization
Cardiac catheterization
is a medical procedure used to diagnose and treat some heart conditions. The procedure uses a long, thin, flexible tube called a catheter. A provider puts the tube into a blood vessel in your arm, groin, or upper thigh. Then they thread the tube to your heart.
Heart biopsy
A heart biopsy, or myocardial
biopsy
, is used to diagnose some
types
of cardiomyopathy. A provider removes a very small piece of your heart muscle to check for
signs
of cardiomyopathy. This can be done during cardiac catheterization.
Coronary angiography
Coronary angiography
uses contrast dye and X-ray pictures to detect blockages in the coronary arteries that are caused by
plaque
buildup. Your provider may order this test to see if cardiomyopathy was caused by
coronary heart disease
.",N/A
Childhood Interstitial Lung Disease,https://www.nhlbi.nih.gov/health/childhood-interstitial-lung-diseases,"Childhood interstitial lung disease (CHILD) is a group of rare lung diseases that can affect babies, children, and teens. These conditions can make it hard to breathe normally.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circadian Rhythm Disorders,https://www.nhlbi.nih.gov/health/circadian-rhythm-disorders,"Circadian rhythm disorders, also known as sleep-wake cycle disorders, are problems that occur when your body’s internal clock is out of sync with your environment.","Symptoms of circadian rhythm disorders can vary depending on the
type
of circadian rhythm disorder you have and how severe your condition is. Many of the symptoms of circadian rhythm disorders occur because you are not getting enough good-quality sleep when your body needs it. Undiagnosed and untreated circadian rhythm disorders may increase your risk of certain health conditions or cause workplace or road accidents. Speak with your healthcare provider to learn more about
diagnosis
and
treatment
options.","Difficulty falling asleep, staying asleep, or both
Excessive daytime sleepiness or sleepiness during shift work
Extreme tiredness and exhaustion
Lethargy
Decreased alertness and difficulty concentrating
Impaired judgment in risky situations, such as while driving, and trouble controlling mood and emotions
Aches and pains, including headaches
Stomach problems in people who have jet lag disorder","Circadian rhythm disorders often cause
sleep deprivation
a condition that occurs when you do not get the recommended amount of uninterrupted quality sleep (7-9 hours for adults). Sleep deprivation can change how well your brain judges risky situations and behaviors. When you do not get enough sleep, you may underestimate the risks and overestimate the rewards of certain situations. This may lead you to make riskier choices than you would have made if you were well rested. Not getting enough sleep when you need it can also increase your risk for accidents, such as those caused by drowsy driving after working a night shift.
BROCHURE
Sleep Diary
Print and use this sleep diary to record the quality and quantity of your sleep and daytime habits that may affect your sleep. You can then bring the diary with you to review the information with your doctor.
Download the diary","To diagnose a circadian rhythm disorder, your doctor may review your medical history; ask about your symptoms, sleep patterns, and environment; do a physical exam; and order diagnostic tests.","Your doctor will want to learn about your
symptoms
and
risk factors
to help diagnose a circadian rhythm disorder. To do this, your doctor may ask the following questions:
When, how long, and how well you sleep:
If you don’t know for sure, your doctor may ask you to keep a
sleep diary
to help you keep track.
Your symptoms and when they began:
Symptoms that have lasted for 3 months or more may indicate a circadian rhythm disorder.
Your personal and family history
of health conditions
Your use of caffeine, nicotine, alcohol, or illegal drugs,
as well as your exposure to artificial light at night: These lifestyle habits may cause
insomnia
or tiredness.
Whether you are pregnant or undergoing menopause
Your doctor may also examine you. A physical exam can help your doctor rule out other medical conditions that may prevent good-quality sleep, such as chronic pain, heart or lung diseases, or large tonsils or small airways that may be a sign of
sleep apnea
.","Your doctor may recommend one or more of the following tests:
Actigraphy
involves wearing a small motion sensor for 3 to 14 days to measure your sleep-wake cycles.
Sleep studies
measure how well you sleep and how your body responds to sleep problems.
Your doctor may do other studies to look at your natural patterns of sleep and wakefulness. Your doctor may repeatedly measure your body temperature and the levels of melatonin and cortisol in your blood or saliva. The way these rise and fall over time can help determine the type of circadian rhythm disorder you may have. Read more about how melatonin,
cortisol
, and body temperature work in
How Sleep Works
.",N/A
Clinical Trials,https://www.nhlbi.nih.gov/research/clinical-trials/how-studies-work,"The NHLBI leads or sponsors studies for patients who have heart, lung, blood, or sleep-related diseases or disorders. Find studies for diseases and conditions and see if you or a loved one is eligible.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Conduction Disorders,https://www.nhlbi.nih.gov/health/conduction-disorders,"A conduction disorder, or heart block, is a problem with the electrical system that controls the heart’s rate and rhythm. This can cause the heartbeat to be too fast, too slow, or irregular.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Congenital Heart Defects,https://www.nhlbi.nih.gov/health/congenital-heart-defects,"Congenital heart defects, or diseases, are problems with the heart's structure that are present at birth.","Symptoms of congenital heart defects depend on many factors. For example, symptoms may be different for newborns and adults. They also depend on the number,
type
, and severity of the heart defect. Some common symptoms are:
Bluish tone
to a baby’s skin and lips
Fatigue
, or feeling constantly tired
Heart murmurs
,
which are unusual sounds heard between heartbeats. Murmurs sometimes sound like a whooshing or swishing noise
Poor blood circulation
Rapid breathing
Shortness of breath during physical activity
can happen in children or adults with a congenital heart defect",N/A,N/A,"Some
congenital
heart defects are diagnosed during pregnancy or soon after birth. Others may not be diagnosed until adulthood. A doctor will do a physical exam to looks for
symptoms
of a congenital heart defect. Based on what they find, they may order tests to confirm their diagnosis.","You or your baby may need one or more of the following tests to determine whether symptoms are caused by a congenital heart defect:
Echocardiography or echo
is a painless test that uses sound waves to create moving pictures of the heart. It can help diagnose a heart defect or be used to follow progress over time. Echocardiography used during pregnancy (
fetal echocardiography
) can sometimes be used to help find a congenital heart defect before a baby is born
Electrocardiogram (EKG or ECG)
to evaluate the rhythm of the heartbeat
Cardiac catheterization
to measure the pressure and
oxygen
level inside the heart chambers and blood vessels. This can help the doctor figure out whether blood is flowing from the left side of the heart into the right side of the heart, instead of going to the rest of the body
Chest
X-ray
to
show whether the heart is enlarged. It can also show whether the lungs have extra blood flow or extra fluid, which can be a sign of heart failure
Genetic
testing
to determine if particular
Genes
or genetic conditions are causing the congenital heart defect. Your doctor may refer you or your child to a doctor who specializes in genetic testing
Cardiac MRI
to diagnose a heart defect or follow progress over time
Pulse oximetry
to estimate how much oxygen is in the blood",N/A,N/A
COPD,https://www.nhlbi.nih.gov/health/copd,"COPD, or chronic obstructive pulmonary disease, is a long-term condition that damages the lungs and blocks airflow into and out of the lungs. This makes it hard to breathe.","At first, COPD may cause no
symptoms
or only mild symptoms. As the disease gets worse, symptoms usually become more serious. There may be times when symptoms suddenly worsen — known as a flare-up or an
exacerbation
— because of triggers such as an infection or something in the environment like dust or smoke.","Recognize the Signs of COPD
Earlier diagnosis and treatment can make a big difference in quality of life for people who have COPD.
Common symptoms of COPD include:
Shortness of breath,
especially with physical activity. You may feel like breathing takes more effort or that you are gasping for air.
An ongoing cough
or a cough that produces a lot of
mucus
, sometimes called a smoker’s cough. This is often the first symptom of COPD.
Wheezing or a whistling
or squeaky sound when you breathe.
Chest tightness or heaviness
, which may make it hard to take a deep breath or make it painful to breathe.
Fatigue
or extreme tiredness.
Not everyone who has these symptoms has COPD. Likewise, not everyone with COPD has all these symptoms. Your healthcare provider can determine whether you have COPD. You may also have additional conditions that need to be diagnosed and treated. It is very common for people with COPD to have other conditions, including heart disease.
If your symptoms are mild, you may adjust your lifestyle to make breathing easier. For example, you may take the elevator instead of the stairs. For more serious symptoms, such as becoming short of breath during physical work, your healthcare provider can provide treatments and other ways to help. Severe COPD can cause additional symptoms, such as lack of appetite, loss of weight and muscle, anxiety, and depression.
Learn more about
living with COPD
.
INFOGRAPHIC
Portraits of Lung Health at Any Age
Learn how to recognize the symptoms of COPD and manage the disease, no matter how old you are.
View the infographic.","Certain triggers, such as smells, cold air, poor air quality, colds, the flu, or a lung infection, can lead to a sudden worsening of symptoms. When this happens, it is called a flare-up or an
exacerbation
.
With a flare-up, you have a harder time breathing. You may also have chest tightness or a fever. You may need to cough or clear your throat more. Or you might find yourself coughing up yellow or green phlegm.
Call your healthcare provider right away if your symptoms worsen suddenly. Your provider may prescribe antibiotics to treat an infection. They may also give you other medicines, such as bronchodilators and inhaled or oral steroids, to help you breathe. Serious symptoms may require treatment in a hospital.
How serious a flare-up is depends on the amount of lung damage you have. Poor sleep can also increase the risk of a flare-up. Take
steps to keep yourself healthy
to help prevent a flare-up.","Your provider will diagnose COPD based on your symptoms, your medical and family histories, and test results.
How Does A COPD Diagnosis Affect Your Loved Ones?
Learn what a COPD diagnosis means for your family, why it’s important for caregivers to take care of themselves, and how other family members can be supportive.
Discuss your smoking habits
or whether you have had contact with secondhand smoke, air pollution, chemical fumes, or dust.
If you have persistent shortness of breath that gets worse over time,
let your provider know, because this is the main symptom of COPD.
If you have an ongoing cough,
tell them how long you’ve had it, how much you cough, and how much
mucus
comes up when you cough.
Be sure to bring up any
family history of COPD
.
Your provider will examine you
and use a stethoscope to listen for wheezing or other abnormal chest sounds.
Lung function and imaging tests
will tell whether you have COPD and how serious it is.
If your provider recommends getting an X-ray or computed tomography (CT) scan
to detect lung cancer or diagnose a breathing problem, ask them about your risk of COPD.
If you get a COPD diagnosis, ask about
genetic
screening.
Some people have a genetic condition that increases their risk of COPD, called
alpha-1 antitrypsin (AAT) deficiency
. Screening is especially important if you have family members with AAT deficiency or who were diagnosed with COPD in their 40s or 50s or have liver disease. Likewise, if you are the first in your family to learn that AAT deficiency is part of your genetic makeup, ask your provider for advice on talking with family members about your results.","Diagnosing COPD
Learn about spirometry and other diagnostic tests your provider may use to diagnose COPD based on your symptoms and risk factors.
The main test for COPD is spirometry. It can detect COPD before
symptoms
are recognized. Your provider may also use the test results to find out how serious your COPD is and help set your
treatment
goals.
Spirometry is a lung function test that measures how much air you breathe out and how fast you can blow air out.
During the test, a technician will ask you to take a deep breath in. Then you will blow as hard as you can into a tube connected to a small machine called a spirometer. Your healthcare team may have you inhale (breathe in) medicine that helps open your airways and then blow into the tube again. They can then compare your test results before and after taking the medicine.
Learn more about
spirometry tests
.","Peak expiratory flow test
This test measures how fast you can blow air out using maximum effort. This test can be done during spirometry or with a small handheld device.
Arterial blood gas test
An arterial blood gas test measures the
oxygen
and carbon dioxide levels in your blood.
Arterial blood gas tests are usually done in a hospital but may be done in a healthcare provider’s office. For this test, blood will be taken from an
artery
, usually in the wrist where your pulse is measured.
Learn more about
lung function tests
.","Chest X-ray
A chest
X-ray
is a fast and painless imaging test that looks at the structures in and around your chest.
The test cannot diagnose COPD, but it can be used to find other conditions that may interact with COPD. The test may be done in a healthcare provider’s office, clinic, or hospital. You will stand, sit, or lie still for the test.
Chest X-rays have few risks. The amount of radiation used in a chest X-ray is very small. Talk to your provider if you are or could be pregnant.
Chest computed tomography (CT) scan
A CT scan is a painless imaging test that takes many detailed pictures of your lungs and the inside of your chest. Computers can combine these pictures to create three-dimensional models that show the size, shape, and position of your lungs and structures in your chest.
A chest CT scan can help find the cause of lung symptoms such as shortness of breath or chest pain. It can also tell your healthcare provider whether you have certain lung problems, such as a tumor, excess fluid around the lungs known as pleural
effusion
, or pneumonia.
Your chest CT scan may be done in a medical imaging facility or hospital. You will lie still on a table that will slide into the scanner. You will hear soft buzzing or clicking sounds when you are inside the scanner and the scanner is taking pictures. You will be able to hear from and talk to the technician performing the test while you are inside the scanner. For some diagnoses, a contrast dye, often iodine-based, may be injected into a
vein
in your arm before the imaging test.
In rare instances, some people have an allergic reaction to contrast dye. There is also a slight risk of cancer, particularly in growing children, because the test uses radiation. Although the amount of radiation from one test is usually less than the amount of radiation you are naturally exposed to over three years, patients should not receive more CT scans than what is recommended by clinical guidelines.
Learn more about
lung imaging tests
.
Fact sheet
Get the Most From Your Doctor Visit
Get tips to help you prepare and questions to ask your healthcare provider.
View the fact sheet."
Coronary Artery Bypass Grafting,https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting,"Coronary artery bypass grafting, sometimes called coronary artery bypass surgery or just bypass surgery, is a procedure to improve blood flow to the heart.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coronary Heart Disease,https://www.nhlbi.nih.gov/health/coronary-heart-disease,Coronary heart disease is a common type of heart disease where the arteries of the heart cannot deliver enough oxygen-rich blood to the heart.,"Sometimes coronary heart disease is ""silent,"" meaning you may not have any
symptoms
until you have a heart attack or other complication. This can make coronary heart disease hard to
diagnose
. It is also why
preventing heart disease
is so important.
Coronary heart disease often develops over many years. As
plaque
builds up and narrows the coronary
arteries
, you're more likely to have symptoms such as chest pain, shortness of breath, or neck pain when you exert yourself. Symptoms often go away with rest and return when you are active or under stress. Symptoms may get worse as plaque keeps building up.
Chest pain or discomfort that does not go away or occurs while you are resting might be a
sign
of a heart attack. All chest pain should be checked by a healthcare provider.","A
heart attack
may cause the following symptoms:
Angina
, or chest pain caused by the heart, can feel like pressure, squeezing, tightness, or burning. The chest pain is sometimes related to physical activity. The pain or discomfort can also spread to your shoulders, arms, neck, jaw, or back.
Cold sweats
Dizziness
Lightheadedness
Nausea or a feeling of indigestion
Neck pain
Shortness of breath, especially with activity
Weakness
Women
are somewhat less likely than men to experience chest pain with a heart attack. Instead, they are more likely to experience:
Dizziness
Extreme tiredness
Nausea
Pressure or tightness in the chest
Stomach pain
FACT SHEET
Learn What a Heart Attack Feels Like
It's important to learn the warning signs of a heart attack and what to do if you are experiencing symptoms.
View the fact sheet",N/A,"Your healthcare provider will diagnose coronary heart disease based on your
symptoms
,
your medical and family history, your
risk factors
, and the results of
heart tests
. Your provider will likely screen you for coronary heart disease at your regular checkups. Providers may use an app to assess your chance of developing heart disease in the next 10 years or beyond.
Numbers You Should Know for Your Heart: What to Ask Your Doctor
Results of screening and diagnostic tests can help you and your provider work together to improve your heart health.","You may not have any symptoms until you have a serious health problem, such as a
heart attack
or
cardiac arrest
. Regular checkups allow you to talk with your healthcare provider about your risk and how to prevent heart disease. Heart-healthy lifestyle changes can also help.
You should start getting screening tests and risk assessments for coronary heart disease around age 20 if you do not have any of the risk factors. Children with risk factors such as obesity, low levels of physical activity, or a family history of heart problems, may need screening.
To screen for coronary heart disease, your provider may:
Assess your risk factors
to help evaluate your chances of developing coronary heart disease
Calculate your
body mass index
and waist circumference to help determine whether you have overweight or obesity
Check your
blood pressure
to see whether you have
high blood pressure
, also called
hypertension
Order
blood tests
to see whether you have
high blood cholesterol
,
high blood triglycerides
, or
diabetes
Screening usually happens in a provider’s office, but sometimes screenings are offered at health fairs, drugstores, or other places. Blood samples might be collected at a provider’s office, hospital, or laboratory. Ask whether you need to fast (not eat or drink anything besides water) before the blood tests.","Your healthcare provider may use a risk calculator to estimate your cardiovascular risk score. Risk scores indicate the chances of having a heart attack, having a stroke, or dying from heart disease in the next 10 years or more.
Risk assessments should be repeated every four to six years in adults who do not have heart disease.
What does a risk score mean?
A risk score uses data from many people who have similar risk factors. Even if a risk calculator says your risk score is high, it does not mean that something bad will happen. For example, a 10-year risk score of 15% means that, on average, 15 out of 100 people in that risk category will have a heart problem within 10 years.
Risk calculators can give you and your healthcare provider good information about your risk. But your provider may consider other factors to estimate your risk more accurately. There are several different risk calculators, and no single risk calculator is right for everyone.
The
Atherosclerotic Cardiovascular Disease (ASCVD) Risk Estimator Plus
app uses your
cholesterol
levels, age, sex, race, and blood pressure to assess risk. It also considers whether you smoke or take medicines to manage your high blood pressure or blood cholesterol. The app is for people between ages 20 and 79 who have not had a heart problem. For details on the app, read pages eight and nine in our booklet,
Your Guide to Lowering Your Cholesterol with Therapeutic Lifestyle Changes (TLC
)
.
The American Heart Association’s
PREVENT
TM
app
is based on data from a diverse group of 6 million people. The app does not consider race, but it includes social factors based on ZIP codes to help predict the risk of heart problems. This tool is for adults between ages 30 and 79.
Ask about your
risk
during your annual checkup. Understanding your risk will help you and your provider decide on healthy lifestyle changes, and possibly medicines, to help prevent coronary heart disease. Your provider may suggest other tests for the disease even if your risk score is not high.","If you have symptoms or a family history of coronary heart disease, your healthcare provider may order tests and procedures.
Your provider will likely run some
blood tests
to check your levels of cholesterol,
triglycerides
,
lipoproteins
, sugar, or
proteins
that are a
sign
of
inflammation
.
To help diagnose coronary heart disease, your provider may also order some of the following
heart tests
:
An
electrocardiogram
(ECG)
records the strength and timing of electrical signals as they pass through the heart and determines whether the heart's rhythm is steady or irregular.
A
coronary calcium scan
measures the amount of calcium in the walls of your coronary arteries. This test is a type of cardiac computed tomography (CT) scan. Coronary calcium scans can also help assess coronary heart disease risk for people who smoke or who do not have heart disease symptoms.
Stress tests
check your heart while it is working hard and beating quickly. For stress testing, you walk or run on a treadmill or pedal a stationary bike. If you have a medical problem that prevents you from exercising, your provider may give you medicine to make your heart work harder for a short time. To check for low blood flow to your heart muscle, your provider will use an ECG or another imaging test. An ECG will monitor your heart's electrical activity while you exercise.
Cardiac magnetic resonance imaging
(MRI)
detects tissue damage or problems with blood flow in the heart or coronary arteries. It can help your provider diagnose disease in the small coronary arteries, known as microvascular disease, as well as nonobstructive or obstructive coronary artery disease. A cardiac MRI can also help explain results from other imaging tests.
A cardiac positron emission tomography (PET) scan
assesses blood flow through the coronary blood vessels and into the heart muscle. This type of
nuclear imaging test
can help diagnose coronary microvascular disease.
Coronary CT angiography
is an imaging test that looks at blood flow through the coronary arteries using a special
X-ray
machine that takes multiple pictures of the heart.
Invasive
coronary angiography
uses contrast dye to detect blockages in the coronary arteries. Your provider will inject the dye into your coronary arteries using
cardiac catheterization
. This procedure is often used if other tests show that you are likely to have coronary artery disease.
Your test results may show how much
plaque
is clogging your coronary arteries.
FACT SHEET
My Heart Health Tracker
Keep track of important health numbers related to your heart health.
Read the fact sheet"
CPAP,https://www.nhlbi.nih.gov/health/cpap,CPAP (continuous positive airway pressure) is a device that uses mild air pressure to keep the airways open while you sleep. It is often used to treat breathing problems during sleep.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
